cv_cct,c_nombre,cv_tipo,c_tipo,cv_administrativa,c_administrativa,cv_estatus,c_estatus,cv_motivo,c_motivo,cv_motivon2,c_descripcnmotivo,inmueble_cv_inmueble,inmueble_cv_vialidad_principal,inmueble_c_vialidad_principal,inmueble_cv_vialidad_derecha,inmueble_c_vialidad_derecha,inmueble_cv_vialidad_izquierda,inmueble_c_vialidad_izquierda,inmueble_cv_vialidad_posterior,inmueble_c_vialidad_posterior,inmueble_n_extnum,inmueble_c_extalf,inmueble_n_intnum,inmueble_c_intalf,inmueble_cv_ent,inmueble_c_nom_ent,inmueble_cv_mun,inmueble_c_nom_mun,inmueble_cv_loc,inmueble_c_nom_loc,inmueble_cv_asen,inmueble_c_nom_asen,inmueble_cv_codigo_postal,inmueble_c_desc_ubicacion,latitud,longitud,sostenimiento_cv_control,sostenimiento_c_control,sostenimiento_cv_subcontrol,sostenimiento_c_subcontrol,sostenimiento_cv_dependencian1,sostenimiento_c_dependencian1,sostenimiento_cv_dependencian2,sostenimiento_c_dependencian2,sostenimiento_cv_dependencian3,sostenimiento_c_dependencian3,sostenimiento_cv_dependencian4,sostenimiento_c_dependencian4,sostenimiento_cv_dependencian5,sostenimiento_cv_servicio,sostenimiento_c_servicio,depoperativa_cv_dependencian1,depoperativa_c_dependencian1,depoperativa_cv_dependencian2,depoperativa_c_dependencian2,depoperativa_cv_dependencian3,depoperativa_c_dependencian3,depoperativa_cv_dependencian4,depoperativa_c_dependencian4,depoperativa_cv_dependencian5,contacto_c_curp,contacto_c_rfc,contacto_c_nombre,contacto_c_apellido1,contacto_c_apellido2,contacto_c_email,contacto_c_telefono,contacto_c_celular,contacto_c_extension,contacto_c_pweb,serreg_cv_cct,jefsec_cv_cct,supervision_cv_cct,institucion,c_tuno_01,c_tuno_2,c_tuno_3,tiponivelsub_cv_servicion1,tiponivelsub_c_servicion1,tiponivelsub_cv_servicion2,tiponivelsub_c_servicion2,tiponivelsub_cv_servicion3,tiponivelsub_c_servicion3,caracteristca_cv_caracterizan1,caracteristca_c_caracterizan1,caracteristca_cv_caracterizan2,caracteristca_c_caracterizan2,fn_inmueble_c_extalf,fn_inmueble_c_intalf,fn_sostenimiento_cv_servicio
01BBS0041U,BIBLIOTECA DEL INSTITUTO ESCADIA,7,BIBLIOTECA,1,AGUASCALIENTES,1,ACTIVO,0,,0,,01INM03889,131885,AVENIDA AGUASCALIENTES NORTE,488074,BOULEVARD A ZACATECAS,758851,AVENIDA INDEPENDENCIA,1067066,CALLE CANAL INTERCEPTOR,1698,,0,,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,290.0,AGROPECUARIO,20135,,21.916208,-102.299684,2.0,PRIVADO,1.0,PRIVADO,1.0,INICIATIVA PRIVADA,1.0,ASOCIACIÓN CIVIL,0.0,,0.0,,0.0,B10,BIBLIOTECA CENTRAL DE INSTITUCION DE EDUCACION SUPERIOR,1,GOBIERNO DEL ESTADO,1,SECRETARÍA DE EDUCACIÓN DEL GOBIERNO DEL ESTADO,0,,0,,0,TESTADO,TESTADO,TESTADO,TESTADO,TESTADO,TESTADO,TESTADO,,,WWW.ESCADIA.MX,,,,,DISCONTINUO,,,,,,,,,,,,,,,
01PBH0007K,PREPARATORIA PROF. HUMBERTO OLIVARES SANTANA,9,ESCUELA,1,AGUASCALIENTES,0,INACTIVO,3,CAUSAS ADMINISTRATIVAS,5,OTRA ESPECIFIQUE,01INM920A4,1267291,CALLE HEROICO COLEGIO MILITAR,1301614,NINGUNO NINGUNO,1335937,NINGUNO NINGUNO,1370260,NINGUNO NINGUNO,0,SN,0,,1,AGUASCALIENTES,6,PABELLÓN DE ARTEAGA,1,PABELLÓN DE ARTEAGA,23.0,NINGUNO,20660,,92.292052,0.0,2.0,PRIVADO,1.0,PRIVADO,1.0,INICIATIVA PRIVADA,1.0,ASOCIACIÓN CIVIL,0.0,,0.0,,0.0,9999,SERVICIO EDUCATIVO,1,GOBIERNO DEL ESTADO,1,SECRETARÍA DE EDUCACIÓN DEL GOBIERNO DEL ESTADO,0,,0,,0,,,TESTADO,TESTADO,TESTADO,,,,,,,,,,VESPERTINO,,,3.0,MEDIA SUPERIOR,1.0,MEDIA SUPERIOR,1.0,BACHILLERATO GENERAL,0.0,NO APLICA,0.0,NO APLICA,,,9999.0
01PBH0035G,ATENEO ALFONSO REYES A. C.,9,ESCUELA,1,AGUASCALIENTES,0,INACTIVO,3,CAUSAS ADMINISTRATIVAS,5,OTRA ESPECIFIQUE,01INM03940,182935,CALLE CRISTIBAL COLON,528289,CALLE ARIAS BERNAL,759244,CALLE AZTECA,854478,NINGUNO NINGUNO,421,,0,,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,268.0,NINGUNO,0,,0.911243,102.297222,2.0,PRIVADO,1.0,PRIVADO,1.0,INICIATIVA PRIVADA,1.0,ASOCIACIÓN CIVIL,0.0,,0.0,,0.0,9999,SERVICIO EDUCATIVO,1,UNIVERSIDADES AUTÓNOMAS,0,,0,,0,,0,,,TESTADO,TESTADO,TESTADO,,TESTADO,,,,,,,,MATUTINO,,,3.0,MEDIA SUPERIOR,1.0,MEDIA SUPERIOR,1.0,BACHILLERATO GENERAL,0.0,NO APLICA,0.0,NO APLICA,,,9999.0
01ADG0114Q,UNIDAD DE CONTRALORIA INTERNA,6,ADMINISTRATIVO,1,AGUASCALIENTES,0,INACTIVO,3,CAUSAS ADMINISTRATIVAS,5,OTRA ESPECIFIQUE,01INM91E86,1266752,AVENIDA TECNOLOGICO,1301075,AVENIDA OJOCALIENTE,1335398,NINGUNO NINGUNO,1369721,AVENIDA AGUASCALIENTES ORIENTE,601,,0,,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,135.0,OJOCALIENTE I,20190,,21.871209,-102.252712,1.0,PÚBLICO,5.0,FEDERAL TRANSFERIDO,1.0,PRESIDENCIA DE LA REPÚBLICA,2.0,SECRETARÍA DE EDUCACIÓN PÚBLICA,0.0,,0.0,,0.0,A10,CONDUCCION Y COORDINACION GENERAL,1,GOBIERNO DEL ESTADO,1,SECRETARÍA DE EDUCACIÓN DEL GOBIERNO DEL ESTADO,0,,0,,0,,,TESTADO,TESTADO,TESTADO,,TESTADO,,,,,,,,DISCONTINUO,,,,,,,,,,,,,,,
01AIZ0017Y,INSPECCION DE PRIMARIAS NUM. 17,1,SUPERVISION DE ZONA DE EDUCACION,1,AGUASCALIENTES,0,INACTIVO,3,CAUSAS ADMINISTRATIVAS,5,OTRA ESPECIFIQUE,01INM03ADC,182566,AVENIDA DE LA CONVENCION,321441,NINGUNO NINGUNO,587905,NINGUNO NINGUNO,854742,NINGUNO NINGUNO,0,SN,0,,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,865.0,LOMAS DEL SUR,20280,,21.521139,-102.175002,1.0,PÚBLICO,5.0,FEDERAL TRANSFERIDO,1.0,PRESIDENCIA DE LA REPÚBLICA,2.0,SECRETARÍA DE EDUCACIÓN PÚBLICA,0.0,,0.0,,0.0,A33,SUPERVISAR QUE LOS ESTABLECIMIENTOS EDUCATIVOS CUMPLAN CON PLANES Y PROGRAMAS,1,GOBIERNO DEL ESTADO,1,SECRETARÍA DE EDUCACIÓN DEL GOBIERNO DEL ESTADO,0,,0,,0,,,TESTADO,TESTADO,TESTADO,,TESTADO,,,,,,,,DISCONTINUO,,,,,,,,,,,,,,,
01ETV0078H,ETV NUM. 75 FEDERICO GARCIA LORCA,9,ESCUELA,1,AGUASCALIENTES,0,INACTIVO,3,CAUSAS ADMINISTRATIVAS,5,OTRA ESPECIFIQUE,01INM03FF8,55304,NINGUNO NINGUNO,322209,NINGUNO NINGUNO,588786,NINGUNO NINGUNO,855844,NINGUNO NINGUNO,0,DOMICILIO CONOCIDO,0,,1,AGUASCALIENTES,4,COSÍO,38,ZACATEQUILLAS,1.0,NINGUNO,20470,,0.935127,102.310556,1.0,PÚBLICO,2.0,ESTATAL,1.0,GOBIERNO DEL ESTADO,1.0,SECRETARÍA DE EDUCACIÓN DEL GOBIERNO DEL ESTADO,0.0,,0.0,,0.0,9999,SERVICIO EDUCATIVO,1,GOBIERNO DEL ESTADO,1,SECRETARÍA DE EDUCACIÓN DEL GOBIERNO DEL ESTADO,0,,0,,0,,,TESTADO,TESTADO,TESTADO,,,,,,,,,,MATUTINO,,,2.0,BÁSICA,3.0,SECUNDARIA,3.0,TELESECUNDARIA,0.0,NO APLICA,0.0,NO APLICA,,,9999.0
01BBE0152W,BIBLIOTECA DEL INSTITUTO NIELS BOHR,7,BIBLIOTECA,1,AGUASCALIENTES,1,ACTIVO,0,,0,,01INM92114,1267403,CALLE DECRETO 30 DE ENERO DE 1992,1301726,CALLE LUIS TORRES GAYTAN,1336049,CALLE FRANCISCO GUEL ESPARZA,1370372,CALLE URUGUAY,201,C,0,,1,AGUASCALIENTES,11,SAN FRANCISCO DE LOS ROMO,1,SAN FRANCISCO DE LOS ROMO,24.0,SAN JOSE DE BUENAVISTA,20303,,22.073751,-102.271971,2.0,PRIVADO,1.0,PRIVADO,1.0,INICIATIVA PRIVADA,0.0,,0.0,,0.0,,0.0,B03,BIBLIOTECA ESCOLAR DE NIVEL MEDIO SUPERIOR (BACHILLERATO),1,INICIATIVA PRIVADA,0,,0,,0,,0,TESTADO,TESTADO,TESTADO,TESTADO,TESTADO,TESTADO,,TESTADO,,,,,,,MATUTINO,,,,,,,,,,,,,,,
01ADG0019M,SISTEMA DE ASESORÍA Y ACOMPAÑAMIENTO A LA ESCUELA ASIENTOS,3,SERVICIO REGIONAL,1,AGUASCALIENTES,1,ACTIVO,0,,0,,01INM03E57,183631,CALLE CARRETERA VILLA JUAREZ - LORETO,855474,NINGUNO NINGUNO,321946,NINGUNO NINGUNO,588503,NINGUNO NINGUNO,0,SN,0,,1,AGUASCALIENTES,2,ASIENTOS,59,VILLA JUÁREZ,17.0,NINGUNO,20710,,22.103063,-102.061881,1.0,PÚBLICO,5.0,FEDERAL TRANSFERIDO,1.0,PRESIDENCIA DE LA REPÚBLICA,2.0,SECRETARÍA DE EDUCACIÓN PÚBLICA,0.0,,0.0,,0.0,A10,CONDUCCION Y COORDINACION GENERAL,1,GOBIERNO DEL ESTADO,1,SECRETARÍA DE EDUCACIÓN DEL GOBIERNO DEL ESTADO,0,,0,,0,TESTADO,TESTADO,TESTADO,TESTADO,TESTADO,TESTADO,TESTADO,,,,,,,,DISCONTINUO,,,,,,,,,,,,,,,
01DJN0052L,ESTEBAN AVILA,9,ESCUELA,1,AGUASCALIENTES,0,INACTIVO,3,CAUSAS ADMINISTRATIVAS,5,OTRA ESPECIFIQUE,01INM92046,1267197,CALLE EUSTAQUIO SERNA,1301520,NINGUNO NINGUNO,1335843,NINGUNO NINGUNO,1370166,NINGUNO NINGUNO,0,SN,0,,1,AGUASCALIENTES,3,CALVILLO,69,PRESA DE LOS SERNA,1.0,NINGUNO,20805,,90.859954,0.0,1.0,PÚBLICO,5.0,FEDERAL TRANSFERIDO,1.0,PRESIDENCIA DE LA REPÚBLICA,2.0,SECRETARÍA DE EDUCACIÓN PÚBLICA,0.0,,0.0,,0.0,9999,SERVICIO EDUCATIVO,1,GOBIERNO DEL ESTADO,1,SECRETARÍA DE EDUCACIÓN DEL GOBIERNO DEL ESTADO,0,,0,,0,,,TESTADO,TESTADO,TESTADO,,,,,,01ADG0020B,,01FZP0016D,,MATUTINO,,,2.0,BÁSICA,1.0,PREESCOLAR,1.0,GENERAL,0.0,NO APLICA,0.0,NO APLICA,,,9999.0
01DJN0537O,PREESCOLAR RURAL,9,ESCUELA,1,AGUASCALIENTES,0,INACTIVO,3,CAUSAS ADMINISTRATIVAS,5,OTRA ESPECIFIQUE,01INM043AA,55666,NINGUNO NINGUNO,322707,NINGUNO NINGUNO,589342,NINGUNO NINGUNO,856631,NINGUNO NINGUNO,0,DOMICILIO CONOCIDO,0,,1,AGUASCALIENTES,10,EL LLANO,42,LA LUZ,1.0,NINGUNO,20330,,0.91662,101.996111,1.0,PÚBLICO,5.0,FEDERAL TRANSFERIDO,1.0,PRESIDENCIA DE LA REPÚBLICA,2.0,SECRETARÍA DE EDUCACIÓN PÚBLICA,0.0,,0.0,,0.0,9999,SERVICIO EDUCATIVO,1,GOBIERNO DEL ESTADO,1,SECRETARÍA DE EDUCACIÓN DEL GOBIERNO DEL ESTADO,0,,0,,0,,,TESTADO,TESTADO,TESTADO,,,,,,01ADG0014R,,01FZP0008V,,MATUTINO,,,2.0,BÁSICA,1.0,PREESCOLAR,1.0,GENERAL,0.0,NO APLICA,0.0,NO APLICA,,,9999.0
